symbol,series,method,rank,period_ticks,frequency,power
EXT_0,abs_returns,acf_peaks,2,323.0,0.0030959752321981426,0.02889969876316017
EXT_0,abs_returns,acf_peaks,3,182.0,0.005494505494505495,0.02861258197132649
EXT_0,abs_returns,acf_peaks,4,211.0,0.004739336492890996,0.02808961988389906
EXT_0,abs_returns,acf_peaks,5,65.0,0.015384615384615385,0.025471016246770208
EXT_1,returns,periodogram,1,6.540621266427718,0.1528906749474838,0.00011262692484756815
EXT_1,returns,periodogram,2,5.3724239450441615,0.18613572015709196,9.854534509416983e-05
EXT_1,returns,periodogram,3,5.2113279390766305,0.19188967028952414,8.703819814868662e-05
EXT_1,returns,periodogram,4,5.687792207792208,0.17581514293542788,8.16548143173406e-05
EXT_1,returns,periodogram,5,5.99288451012589,0.16686455384053336,8.108388165529072e-05
EXT_1,abs_returns,periodogram,1,8.140520446096653,0.12284226870033793,0.00016528752914194935
EXT_1,abs_returns,periodogram,2,16.58939393939394,0.06027947757786099,0.00012009494929866284
EXT_1,abs_returns,periodogram,3,23.099156118143462,0.04329162480591835,0.0001146265442529105
EXT_1,abs_returns,periodogram,4,57.32460732984294,0.01744451548086583,0.00011134248871834416
EXT_1,abs_returns,periodogram,5,5.1670599339311,0.19353365604164763,0.00010974676185138282
EXT_1,returns,acf_peaks,1,570.0,0.0017543859649122807,0.041639466244226944
EXT_1,returns,acf_peaks,2,739.0,0.0013531799729364006,0.0411969037711781
EXT_1,returns,acf_peaks,3,1480.0,0.0006756756756756757,0.03809085313630868
EXT_1,returns,acf_peaks,4,1473.0,0.0006788866259334691,0.03405834081518585
EXT_1,returns,acf_peaks,5,1597.0,0.0006261740763932373,0.03275683390555843
EXT_1,abs_returns,acf_peaks,1,113.0,0.008849557522123894,0.03272851010096846
EXT_1,abs_returns,acf_peaks,2,552.0,0.0018115942028985507,0.03012553225745477
EXT_1,abs_returns,acf_peaks,3,895.0,0.0011173184357541898,0.029464811511429854
EXT_1,abs_returns,acf_peaks,4,927.0,0.0010787486515641855,0.028440749486966156
EXT_1,abs_returns,acf_peaks,5,802.0,0.0012468827930174563,0.02838033343090643
EXT_2,returns,periodogram,1,5.241263762565821,0.1907936797881085,0.0004281171633033353
EXT_2,returns,periodogram,2,5.154896421845574,0.19399031875057082,0.00036958853864411104
EXT_2,returns,periodogram,3,5.299612778315586,0.18869303132706183,0.0003568626846167751
EXT_2,returns,periodogram,4,5.741478762454117,0.1741711571833044,0.000344325764898323
EXT_2,returns,periodogram,5,5.1743856332703215,0.19325965841629372,0.00031257237740741424
EXT_2,abs_returns,periodogram,1,9.124166666666667,0.10959905014156543,0.00043248080988596066
EXT_2,abs_returns,periodogram,2,5.330574488802337,0.18759704082564618,0.0003149099398855402
EXT_2,abs_returns,periodogram,3,7.820714285714286,0.12786555849849301,0.0003097250823525893
EXT_2,abs_returns,periodogram,4,1824.8333333333333,0.0005479952507078272,0.0002962428476639513
